ID,total_points,letter_grade
304_wi20,NA,NA
304_wi20,NA,NA
305_wi20,80.09,B-
306_wi20,88.93,B+
307_wi20,97.01,A+
308_wi20,95.69,A
309_wi20,97,A+
310_wi20,98.95,A+
311_wi20,95.95,A
312_wi20,98.48,A+
313_wi20,96.81,A
314_wi20,93.17,A
315_wi20,95.65,A
316_wi20,100.87,A+
317_wi20,96.49,A
318_wi20,94.85,A
319_wi20,90.69,A-
320_wi20,96.31,A
321_wi20,96.23,A
322_wi20,102.05,A+
323_wi20,96.05,A
324_wi20,100.2,A+
325_wi20,94.72,A
326_wi20,92.33,A-
327_wi20,99.34,A+
328_wi20,94.05,A
329_wi20,101.15,A+
330_wi20,100.47,A+
331_wi20,95.38,A
332_wi20,95.82,A
333_wi20,95.75,A
334_wi20,93.45,A
335_wi20,92.9,A-
336_wi20,98.62,A+
337_wi20,97.11,A+
338_wi20,95.5,A
339_wi20,98.69,A+
340_wi20,43.81,F
341_wi20,98.12,A+
342_wi20,96.88,A
343_wi20,89.88,B+
344_wi20,92.77,A-
345_wi20,95.9,A
346_wi20,98.53,A+
347_wi20,95.99,A
348_wi20,98.76,A+
349_wi20,96.05,A
350_wi20,100.35,A+
351_wi20,98.22,A+
352_wi20,96.75,A
353_wi20,93,A
354_wi20,87.04,B+
355_wi20,102.83,A+
356_wi20,90.33,A-
357_wi20,95.9,A
358_wi20,74.18,C
359_wi20,102.07,A+
360_wi20,98.8,A+
361_wi20,88.91,B+
362_wi20,97.45,A+
363_wi20,102.53,A+
364_wi20,99.85,A+
365_wi20,101.82,A+
366_wi20,95.12,A
367_wi20,93.7,A
368_wi20,97.74,A+
369_wi20,89.45,B+
370_wi20,95.02,A
371_wi20,97.37,A+
372_wi20,97.69,A+
373_wi20,98.35,A+
374_wi20,100.85,A+
375_wi20,99.66,A+
376_wi20,94.69,A
377_wi20,95.66,A
378_wi20,96.7,A
379_wi20,102.25,A+
380_wi20,88.48,B+
381_wi20,88.81,B+
382_wi20,102.49,A+
383_wi20,98.06,A+
384_wi20,92.49,A-
385_wi20,96.14,A
386_wi20,102.69,A+
387_wi20,96.56,A
388_wi20,91.48,A-
389_wi20,95.9,A
390_wi20,91.53,A-
391_wi20,97.87,A+
392_wi20,98.83,A+
393_wi20,102.75,A+
394_wi20,99.04,A+
395_wi20,101.02,A+
396_wi20,0,F
396_wi20,0,F
396_wi20,NA,NA
396_wi20,NA,NA
397_wi20,97.5,A+
398_wi20,103.13,A+
399_wi20,94.21,A
400_wi20,81.88,B-
401_wi20,88.19,B+
402_wi20,96.26,A
403_wi20,96.56,A
404_wi20,98.55,A+
405_wi20,93.82,A
406_wi20,0,F
407_wi20,96.41,A
408_wi20,96.44,A
409_wi20,96.25,A
410_wi20,87.3,B+
411_wi20,98.74,A+
412_wi20,87.65,B+
413_wi20,96.7,A
414_wi20,96.95,A
415_wi20,100.35,A+
416_wi20,95.53,A
417_wi20,98.35,A+
418_wi20,95.85,A
419_wi20,93.42,A
420_wi20,90.29,A-
421_wi20,98.25,A+
422_wi20,99.35,A+
423_wi20,102.13,A+
424_wi20,92.77,A-
425_wi20,93.43,A
426_wi20,99.5,A+
427_wi20,97.49,A+
428_wi20,99.09,A+
429_wi20,97.05,A+
430_wi20,96.89,A
431_wi20,89.8,B+
432_wi20,101.88,A+
433_wi20,96.66,A
434_wi20,95.69,A
435_wi20,92.58,A-
436_wi20,93.36,A
437_wi20,0,F
437_wi20,0,F
437_wi20,NA,NA
437_wi20,NA,NA
438_wi20,93.99,A
439_wi20,0,F
439_wi20,0,F
439_wi20,NA,NA
439_wi20,NA,NA
440_wi20,89.29,B+
441_wi20,95.03,A
442_wi20,98.63,A+
443_wi20,85.76,B
444_wi20,96.7,A
445_wi20,98,A+
446_wi20,102.13,A+
447_wi20,99.45,A+
NA,102.65,A+
NA,102.46,A+
NA,97.61,A+
NA,96.75,A
NA,96.36,A
NA,96.28,A
NA,95.47,A
NA,94.09,A
NA,92.45,A-
NA,89.78,B+
NA,41.6,F
NA,0,F
NA,0,F
NA,0,F
