ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
068_wi20,0.0,16.0,0.0,0.0,-0.5,-0.5,15.0,4.0,6.0,6.0,0,1,101.15,PY26,SR,0
069_wi20,54.0,11.0,6.0,3.0,-0.5,-0.5,6.0,4.0,6.0,6.0,1,1,101.5,CG33,JR,1
070_wi20,0.0,9.0,0.0,0.0,-1.0,-1.0,5.0,12.0,10.0,8.0,1,2,100.74,DS25,JR,0
075_wi20,57.0,27.5,0.0,3.0,0.5,0.5,25.0,2.0,5.0,6.0,1,1,97.56,CG25,SO,3
078_wi20,64.0,20.0,7.0,6.0,0.0,0.0,20.0,14.0,9.0,8.0,1,1,99.0,DS25,SR,1
080_wi20,58.0,38.0,1.0,6.0,-0.5,0.0,8.0,3.0,10.0,5.0,0,1,97.18,CS26,SR,0
084_wi20,129.0,7.0,2.0,2.0,-0.5,-0.5,21.0,4.0,9.0,7.0,0,1,98.43,CS26,SR,0
085_wi20,34.0,17.5,0.0,2.0,-0.5,0.0,20.0,4.0,5.0,3.0,1,0,93.7,PC29,SR,3
088_wi20,83.0,21.5,2.0,1.0,-0.5,-0.5,8.0,5.0,9.0,6.0,0,1,94.72,CS26,SR,0
089_wi20,0.0,6.5,8.0,0.0,-0.5,0.0,20.0,10.0,9.0,9.0,0,3,102.85,DS25,SR,1
094_wi20,89.0,47.0,8.0,1.0,-0.5,0.0,20.0,4.0,7.0,7.0,1,1,96.59,CG31,JR,1
098_wi20,95.0,49.0,8.0,3.0,-0.5,-0.5,20.0,5.0,6.0,2.0,0,0,98.86,CS26,JR,1
099_wi20,12.0,26.0,7.0,2.0,0.0,0.0,15.0,1.0,3.0,3.0,0,1,96.13,MC27,JR,2
101_wi20,0.0,20.5,0.0,0.0,-0.5,-0.5,15.0,7.0,7.0,7.0,0,2,95.78,BE27,SR,0
104_wi20,184.0,8.5,7.0,6.0,-0.5,-0.5,10.0,11.0,8.0,6.0,1,3,98.35,DS25,SR,1
106_wi20,27.0,4.75,0.0,0.0,-0.5,-0.5,6.0,5.0,10.0,7.0,0,0,95.1,CS26,SR,0
107_wi20,0.0,10.0,7.0,0.0,-0.5,-0.5,20.0,6.0,9.0,5.0,1,1,99.58,DS25,SR,1
109_wi20,0.0,6.0,7.0,0.0,-1.0,-1.0,10.0,11.0,10.0,7.0,1,1,102.13,DS25,SR,1
110_wi20,0.0,16.5,6.0,0.0,-1.0,-1.0,20.0,7.0,9.0,7.0,1,1,103.35,DS25,JR,1
111_wi20,40.0,14.0,8.0,0.0,-0.5,-0.5,10.0,0.0,6.0,5.0,0,0,99.24,CG33,JR,1
114_wi20,34.0,29.0,8.0,4.0,0.5,0.5,17.0,2.0,6.0,7.0,0,1,103.63,IS34,SR,2
115_wi20,107.0,36.5,7.0,3.0,0.0,0.0,20.0,2.0,5.0,3.0,0,0,103.0,CG35,JR,2
117_wi20,0.0,50.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,6.0,1,1,92.41,CG29,SR,3
118_wi20,0.0,25.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,7.0,0,0,96.75,BI36,JR,3
119_wi20,154.0,48.0,1.0,29.0,0.0,0.5,20.0,7.0,8.0,7.0,1,1,95.55,CG33,JR,3
120_wi20,171.0,21.0,4.0,2.0,0.0,-0.5,25.0,12.0,7.0,4.0,1,2,97.13,DS25,SR,1
122_wi20,196.0,32.0,0.0,6.0,-1.0,-0.5,20.0,2.0,8.0,8.0,1,1,97.8,EC27,JR,0
123_wi20,117.0,7.0,0.0,8.0,-0.5,-0.5,5.0,12.0,10.0,9.0,1,2,97.65,DS25,SR,0
125_wi20,45.0,9.0,0.0,0.0,-0.5,-0.5,50.0,10.0,6.0,6.0,1,3,96.25,DS25,JR,0
130_wi20,50.0,18.0,0.0,0.0,-0.5,-0.5,20.0,7.0,8.0,5.0,0,2,96.51,CS26,SR,0
134_wi20,33.0,18.0,0.0,1.0,-0.5,0.0,20.0,4.0,9.0,7.0,0,1,95.32,CS26,SR,0
135_wi20,28.0,19.0,2.0,1.0,-0.5,0.0,20.0,11.0,9.0,7.0,0,2,99.0,CG35,SR,0
139_wi20,81.0,21.0,8.0,1.0,0.0,0.0,10.0,2.0,7.0,5.0,0,0,99.14,CG33,JR,2
140_wi20,143.0,17.0,4.0,1.0,-0.5,0.0,60.0,8.0,9.0,8.0,0,3,93.63,CG35,JR,1
148_wi20,63.0,26.0,0.0,0.0,-0.5,0.0,10.0,0.0,5.0,2.0,0,0,92.75,CS26,SO,3
149_wi20,37.0,42.0,0.0,7.0,0.0,0.0,40.0,2.0,7.0,6.0,0,0,91.69,EC26,SR,3
153_wi20,0.0,17.0,1.0,0.0,0.5,0.5,30.0,9.0,10.0,4.0,1,2,99.73,EC27,SR,3
155_wi20,0.0,7.0,8.0,0.0,-0.5,-0.5,10.0,9.0,8.0,8.0,1,1,99.0,DS25,SR,1
157_wi20,0.0,20.0,0.0,0.0,-0.5,-0.5,30.0,10.0,9.0,8.0,1,1,97.49,DS25,SR,0
159_wi20,0.0,29.0,0.0,0.0,0.0,0.0,20.0,9.0,10.0,6.0,0,2,101.68,CS26,SR,3
163_wi20,0.0,44.0,0.0,0.0,0.0,-0.5,30.0,3.0,8.0,2.0,0,1,94.61,CS26,JR,3
164_wi20,0.0,19.5,5.0,0.0,-0.5,-0.5,10.0,8.0,8.0,7.0,1,2,97.13,DS25,SR,1
165_wi20,44.0,24.0,0.0,0.0,-0.5,0.0,10.0,9.0,10.0,1.0,0,2,85.35,CS26,SR,0
173_wi20,116.0,8.5,0.0,1.0,-0.5,-0.5,6.0,9.0,10.0,7.0,0,1,96.28,CS26,SR,0
175_wi20,127.0,25.0,5.0,8.0,-0.5,0.0,30.0,11.0,8.0,6.0,1,1,94.35,DS25,JR,1
183_wi20,47.0,50.0,8.0,11.0,0.0,0.0,22.0,3.0,6.0,4.0,1,2,87.66,CG29,JR,2
186_wi20,235.0,49.0,1.0,5.0,0.0,0.0,10.0,2.0,6.0,6.0,1,1,99.57,CG29,JR,3
191_wi20,142.0,17.0,0.0,7.0,-0.5,-0.5,20.0,5.0,9.0,5.0,0,0,98.01,CS26,SR,0
192_wi20,51.0,32.0,1.0,3.0,0.0,0.0,10.0,3.0,5.0,6.0,1,1,99.67,CG29,JR,3
193_wi20,107.0,16.0,8.0,3.0,-0.5,-0.5,16.0,1.0,3.0,3.0,1,1,98.55,DS25,JR,1
196_wi20,40.0,11.0,8.0,0.0,-1.0,-0.5,5.0,10.0,7.0,7.0,1,3,95.05,DS25,SR,1
197_wi20,171.0,34.0,8.0,0.0,-1.0,-1.0,15.0,5.0,8.0,6.0,0,1,97.09,CS25,SR,1
199_wi20,0.0,35.0,8.0,0.0,0.0,-0.5,40.0,6.0,10.0,3.0,1,1,96.43,CS26,JR,1
207_wi20,102.0,17.0,1.0,10.0,0.0,-0.5,10.0,11.0,9.0,5.0,1,0,99.3,CS26,JR,0
208_wi20,50.0,28.0,0.0,2.0,0.0,0.0,20.0,3.0,5.0,7.0,0,2,94.78,CG27,SR,3
211_wi20,54.0,11.0,1.0,7.0,-0.5,-0.5,20.0,5.0,8.0,3.0,1,2,103.47,EC27,JR,0
212_wi20,123.0,21.0,3.0,1.0,-0.5,-0.5,33.0,5.0,9.0,7.0,1,2,96.7,BE29,SR,0
214_wi20,0.0,131.0,8.0,0.0,1.0,0.5,40.0,1.0,1.0,1.0,1,1,76.63,CG25,JR,2
216_wi20,192.0,18.0,1.0,1.0,0.0,0.0,7.0,8.0,6.0,9.0,1,2,103.0,EN25,SR,3
218_wi20,0.0,13.0,0.0,0.0,-0.5,-0.5,15.0,10.0,9.0,6.0,1,1,97.82,DS25,SR,0
221_wi20,0.0,36.0,7.0,0.0,0.5,0.5,12.0,4.0,4.0,2.0,1,1,95.83,CG25,JR,2
224_wi20,279.0,31.0,7.0,4.0,0.5,1.0,9.0,3.0,3.0,4.0,1,1,98.2,CG29,JR,2
225_wi20,82.0,20.0,8.0,1.0,0.0,0.0,10.0,4.0,7.0,5.0,0,0,98.61,CS26,JR,2
226_wi20,55.0,13.0,7.0,2.0,0.0,0.0,20.0,9.0,8.0,6.0,1,1,100.85,DS25,JR,2
228_wi20,74.0,43.0,7.0,3.0,0.0,0.5,20.0,0.0,2.0,2.0,1,0,97.61,CG31,JR,2
230_wi20,68.0,95.0,8.0,2.0,0.0,0.0,50.0,7.0,4.0,5.0,1,1,96.73,CG25,SR,2
239_wi20,77.0,15.25,8.0,1.0,-1.0,-1.0,30.0,3.0,10.0,1.0,0,0,103.13,CG35,JR,1
242_wi20,0.0,11.0,0.0,0.0,-1.0,-1.0,8.0,10.0,7.0,8.0,0,1,97.48,CS26,SR,0
245_wi20,107.0,42.0,8.0,4.0,0.0,-0.5,15.0,12.0,7.0,6.0,1,2,101.61,CS26,JR,1
246_wi20,0.0,16.0,0.0,0.0,1.0,0.5,55.0,0.0,4.0,5.0,0,0,83.33,CG29,SR,3
249_wi20,0.0,17.0,1.0,0.0,-0.5,-0.5,26.0,11.0,7.0,5.0,1,1,96.24,DS25,SR,0
251_wi20,116.0,12.0,2.0,2.0,-0.5,0.0,10.0,6.0,9.0,7.0,0,1,94.52,MA30,SR,0
252_wi20,140.0,17.5,7.0,1.0,0.0,0.5,15.0,2.0,4.0,5.0,0,1,96.4,CG33,JR,2
254_wi20,148.0,23.0,0.0,4.0,-0.5,-0.5,20.0,4.0,9.0,1.0,0,0,95.45,CS26,JR,0
255_wi20,113.0,21.0,0.0,2.0,-0.5,-0.5,15.0,4.0,10.0,8.0,0,1,98.2,CG35,JR,0
258_wi20,0.0,24.0,8.0,0.0,0.0,0.0,10.0,2.0,8.0,8.0,0,0,94.2,CG35,SR,2
259_wi20,0.0,20.0,8.0,0.0,-0.5,0.0,15.0,4.0,9.0,7.0,0,3,97.97,MA30,SR,1
266_wi20,31.0,38.0,7.0,3.0,0.5,0.0,25.0,3.0,3.0,3.0,1,2,91.17,CG25,SR,2
267_wi20,170.0,19.0,7.0,5.0,0.0,0.0,40.0,3.0,7.0,7.0,0,2,101.75,BE28,SR,2
268_wi20,27.0,23.0,0.0,1.0,-1.0,-0.5,30.0,5.0,8.0,6.0,0,1,98.03,EC26,SO,0
271_wi20,0.0,16.0,0.0,0.0,-0.5,-0.5,10.0,11.0,10.0,9.0,1,2,97.26,DS25,SR,0
272_wi20,20.0,24.0,0.0,0.0,-0.5,-0.5,26.0,4.0,8.0,1.0,0,3,99.5,CS26,JR,0
274_wi20,43.0,33.0,7.0,2.0,0.0,-0.5,10.0,4.0,4.0,5.0,1,1,98.11,CG33,SR,1
275_wi20,183.0,17.0,6.0,3.0,-0.5,-0.5,12.0,5.0,7.0,8.0,1,1,91.1,DS25,SR,1
278_wi20,70.0,17.0,0.0,1.0,-1.0,-0.5,15.0,13.0,10.0,6.0,1,1,99.57,DS25,JR,0
280_wi20,0.0,44.0,0.0,0.0,0.5,0.5,30.0,0.0,3.0,3.0,0,2,97.43,CS26,SR,3
282_wi20,0.0,19.0,0.0,0.0,0.0,0.0,10.0,8.0,9.0,9.0,0,1,97.69,EC26,SO,3
284_wi20,0.0,16.0,8.0,0.0,-0.5,0.0,20.0,12.0,8.0,8.0,1,3,101.63,DS25,JR,1
285_wi20,72.0,14.0,1.0,4.0,0.0,0.0,10.0,7.0,9.0,8.0,0,3,100.85,CS26,SR,3
286_wi20,0.0,30.0,8.0,0.0,-0.5,0.0,18.0,0.0,8.0,6.0,0,0,97.93,CS26,JR,2
287_wi20,0.0,14.0,8.0,0.0,-1.0,-1.0,20.0,10.0,10.0,8.0,0,3,98.07,CS26,SR,1
290_wi20,11.0,10.5,8.0,0.0,-1.0,-0.5,18.0,13.0,8.0,7.0,1,1,84.35,DS25,JR,1
298_wi20,72.0,10.0,6.0,10.0,-1.0,-1.0,14.0,6.0,10.0,8.0,0,2,97.97,CS26,SR,1
299_wi20,39.0,3.85,0.0,1.0,-1.0,-1.0,20.0,10.0,10.0,7.0,0,1,98.01,CS26,SR,0
300_wi20,302.0,5.199999999999999,0.0,4.0,-1.0,-1.0,20.0,16.0,10.0,10.0,1,3,100.0,DS25,JR,0
301_wi20,65.0,26.0,0.0,1.0,-0.5,-0.5,4.0,3.0,6.0,9.0,0,0,87.67,EC26,SR,0
308_wi20,299.0,12.5,0.0,1.0,-0.5,-1.0,20.0,7.0,8.0,6.0,0,1,95.69,EC26,SR,0
309_wi20,274.0,16.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,5.0,1,1,97.0,DS25,SO,3
310_wi20,0.0,22.5,8.0,0.0,0.0,0.0,12.0,2.0,2.0,3.0,1,1,98.95,CG25,JR,2
312_wi20,86.0,8.0,0.0,3.0,-0.5,-0.5,20.0,13.0,10.0,8.0,1,1,98.48,DS25,JR,0
316_wi20,74.0,14.0,7.0,5.0,-0.5,-0.5,20.0,8.0,8.0,8.0,1,2,100.87,DS25,SR,1
319_wi20,0.0,10.0,0.0,0.0,-0.5,-0.5,10.0,10.0,8.0,8.0,1,1,90.69,DS25,JR,0
321_wi20,24.0,38.0,1.0,0.0,0.5,1.0,10.0,3.0,2.0,8.0,0,0,96.23,CG25,SR,3
326_wi20,0.0,39.0,2.0,0.0,0.5,0.5,12.0,2.0,6.0,8.0,0,0,92.33,CG33,SR,3
329_wi20,78.0,29.0,8.0,3.0,0.0,0.0,30.0,1.0,8.0,7.0,0,0,101.15,MA30,SO,2
330_wi20,164.0,12.0,8.0,3.0,-0.5,-0.5,20.0,8.0,7.0,6.0,1,2,100.47,DS25,SR,1
332_wi20,100.0,18.0,7.0,1.0,-0.5,0.0,7.5,3.0,9.0,7.0,0,2,95.82,CG25,SR,1
333_wi20,144.0,37.0,0.0,0.0,0.5,0.5,20.0,5.0,8.0,8.0,1,1,95.75,CG29,JR,3
334_wi20,0.0,46.0,0.0,0.0,0.0,0.0,22.0,7.0,7.0,8.0,1,2,93.45,CG29,SR,3
341_wi20,128.0,40.0,7.0,3.0,0.0,0.5,7.0,2.0,4.0,5.0,1,1,98.12,CG35,JR,2
346_wi20,74.0,28.0,2.0,7.0,0.0,0.0,20.0,3.0,6.0,5.0,1,1,98.53,CG35,SO,3
347_wi20,0.0,8.5,0.0,0.0,-1.0,-1.0,15.0,15.0,8.0,10.0,1,2,95.99,DS25,SR,0
349_wi20,21.0,25.0,7.0,1.0,0.0,0.0,18.0,0.0,7.0,6.0,0,0,96.05,CG34,JR,2
351_wi20,0.0,42.0,1.0,0.0,0.5,0.5,5.0,2.0,3.0,3.0,0,0,98.22,CG30,SR,3
352_wi20,46.0,28.0,8.0,0.0,-0.5,0.5,20.0,4.0,7.0,3.0,1,2,96.75,CG35,JR,2
354_wi20,0.0,44.0,6.0,0.0,-0.5,0.0,15.0,0.0,5.0,1.0,0,0,87.04,CG33,SR,2
355_wi20,38.0,22.0,8.0,3.0,0.5,0.5,15.0,2.0,8.0,7.0,0,0,102.83,CS26,JR,2
357_wi20,114.0,36.0,8.0,6.0,0.0,0.5,10.0,5.0,4.0,7.0,0,3,95.9,MA33,SR,2
359_wi20,0.0,17.0,6.0,0.0,0.0,0.0,35.0,2.0,6.0,5.0,1,1,102.07,DS25,SR,2
361_wi20,0.0,28.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,2.0,0,1,88.91,CG33,JR,3
363_wi20,128.0,14.0,7.0,0.0,-0.5,0.0,12.0,12.0,9.0,6.0,1,1,102.53,DS25,SR,1
366_wi20,178.0,35.0,8.0,8.0,0.0,0.5,10.0,1.0,7.0,8.0,0,0,95.12,CG29,JR,2
368_wi20,0.0,18.5,8.0,0.0,-0.5,0.0,30.0,2.0,8.0,6.0,0,0,97.74,CS26,JR,2
371_wi20,0.0,21.0,0.0,0.0,0.0,0.5,25.0,9.0,8.0,2.0,0,1,97.37,CS26,JR,3
373_wi20,234.0,19.0,8.0,14.0,-0.5,-0.5,30.0,7.0,7.0,8.0,0,2,98.35,MA30,SR,1
374_wi20,39.0,21.0,8.0,1.0,-0.5,0.0,20.0,8.0,7.0,7.0,1,1,100.85,DS25,JR,1
375_wi20,61.0,30.0,8.0,0.0,-0.5,-0.5,30.0,4.0,8.0,3.0,1,1,99.66,CG33,SO,1
382_wi20,161.0,33.0,8.0,1.0,0.0,0.0,35.0,1.0,3.0,7.0,0,0,102.49,CG35,JR,2
385_wi20,0.0,25.0,8.0,0.0,0.0,0.0,10.0,4.0,8.0,8.0,0,0,96.14,PY29,SR,2
386_wi20,122.0,25.0,7.0,4.0,-1.0,-0.5,20.0,6.0,5.0,8.0,0,1,102.69,IS34,SR,1
387_wi20,0.0,35.0,0.0,0.0,0.0,0.0,20.0,2.0,8.0,6.0,0,1,96.56,CG30,SR,3
389_wi20,0.0,17.0,1.0,0.0,-0.5,-0.5,5.0,0.0,6.0,2.0,0,0,95.9,CS26,JR,0
391_wi20,49.0,35.0,8.0,0.0,0.0,0.5,15.0,8.0,4.0,3.0,1,2,97.87,CG35,JR,2
393_wi20,191.0,14.0,0.0,6.0,-0.5,0.0,10.0,14.0,10.0,10.0,1,1,102.75,DS25,SR,0
394_wi20,0.0,17.0,0.0,0.0,-0.5,0.0,25.0,6.0,6.0,7.0,1,1,99.04,PC26,JR,0
395_wi20,0.0,46.0,8.0,0.0,0.0,0.0,40.0,5.0,6.0,7.0,1,1,101.02,CG35,SR,2
397_wi20,219.0,67.0,8.0,5.0,0.0,-0.5,50.0,1.0,6.0,3.0,0,0,97.5,CS26,JR,2
398_wi20,0.0,18.0,7.0,0.0,-0.5,-0.5,30.0,7.0,7.0,6.0,1,1,103.13,DS25,JR,1
399_wi20,17.0,26.0,7.0,1.0,0.0,0.0,17.0,2.0,3.0,6.0,0,1,94.21,BE25,SR,2
404_wi20,75.0,20.5,7.0,2.0,-0.5,0.0,12.0,9.0,5.0,5.0,1,1,98.55,DS25,SR,1
405_wi20,26.0,38.0,3.0,0.0,0.5,0.5,8.0,0.0,3.0,5.0,0,0,93.82,CG34,SR,3
407_wi20,0.0,25.0,0.0,0.0,-0.5,0.0,30.0,7.0,6.0,5.0,1,1,96.41,DS25,SR,0
408_wi20,58.0,33.0,6.0,1.0,0.0,0.5,15.0,4.0,6.0,6.0,0,1,96.44,CG30,JR,2
415_wi20,85.0,23.0,7.0,5.0,-0.5,0.0,30.0,3.0,8.0,9.0,0,0,100.35,CG33,JR,2
416_wi20,62.0,10.0,0.0,2.0,-0.5,-0.5,20.0,16.0,10.0,10.0,0,3,95.53,DS25,SR,0
422_wi20,65.0,22.0,1.0,5.0,0.5,0.5,25.0,1.0,8.0,7.0,0,0,99.35,CG33,JR,3
426_wi20,0.0,7.25,2.0,0.0,-0.5,0.0,10.0,13.0,10.0,9.0,1,3,99.5,DS25,SR,0
430_wi20,0.0,52.0,7.0,0.0,-0.5,0.5,40.0,4.0,10.0,8.0,0,0,96.89,CG25,SR,2
432_wi20,31.0,13.0,3.0,1.0,-0.5,-0.5,30.0,6.0,8.0,7.0,1,2,101.88,DS25,SR,0
436_wi20,29.0,38.0,0.0,3.0,0.0,0.0,20.0,2.0,5.0,5.0,1,1,93.36,CG35,JR,3
441_wi20,43.0,30.0,5.0,9.0,0.0,0.5,8.0,9.0,9.0,7.0,0,1,95.03,CG25,SR,2
444_wi20,0.0,61.0,6.0,0.0,0.0,0.0,80.0,3.0,7.0,3.0,0,1,96.7,EC26,SR,2
